epoch,train_loss,train_accuracy
15,0.5613111257553101,0.7080340385437012
16,0.5624269247055054,0.7113593816757202
17,0.5647242069244385,0.7094972133636475
18,0.5616719126701355,0.7106943130493164
19,0.560211718082428,0.7084330916404724
20,0.5589824914932251,0.7108273506164551
21,0.5589250922203064,0.712024450302124
22,0.559439480304718,0.7090981602668762
23,0.5588151812553406,0.7102953195571899
24,0.5597712397575378,0.7114924192428589
25,0.5593127012252808,0.712024450302124
26,0.5576986074447632,0.7105613350868225
27,0.5584096312522888,0.7148177623748779
28,0.5583754181861877,0.7128225564956665
29,0.5569356679916382,0.7126895189285278
30,0.5566673278808594,0.7128225564956665
31,0.5569838285446167,0.7173450589179993
32,0.5567277073860168,0.7116254568099976
33,0.5561472773551941,0.7142857313156128
34,0.5555399060249329,0.7165469527244568
35,0.5553309917449951,0.7142857313156128
36,0.5556821227073669,0.7162809371948242
37,0.5541603565216064,0.7128225564956665
38,0.5547879934310913,0.7174780368804932
39,0.5582724213600159,0.7090981602668762
40,0.5535230040550232,0.715881884098053
41,0.554680585861206,0.7116254568099976
42,0.5534582734107971,0.7104282975196838
43,0.553615152835846,0.713620662689209
44,0.5522701740264893,0.7157488465309143
45,0.5516959428787231,0.715881884098053
46,0.552583634853363,0.7161478996276855
47,0.5529699325561523,0.716946005821228
48,0.5539313554763794,0.7101622819900513
49,0.5503427982330322,0.7176110744476318
0,0.6340839266777039,0.6513700485229492
1,0.5853480100631714,0.6910082697868347
2,0.5747547149658203,0.702580451965332
3,0.5720223784446716,0.7053737640380859
4,0.5716561675071716,0.7047086954116821
5,0.568203866481781,0.7051077485084534
6,0.5705232620239258,0.7048417329788208
7,0.5623048543930054,0.7096301913261414
8,0.5626987814903259,0.7089651226997375
9,0.5621564984321594,0.7065709233283997
10,0.5597831606864929,0.7110933661460876
11,0.5620911717414856,0.7080340385437012
12,0.560979425907135,0.707502007484436
13,0.558154821395874,0.712024450302124
14,0.5581163167953491,0.7125565409660339
15,0.5596650838851929,0.7113593816757202
16,0.5555062890052795,0.714684784412384
17,0.553308367729187,0.7134876251220703
18,0.5533885955810547,0.7129555940628052
19,0.5549019575119019,0.7101622819900513
20,0.5534362196922302,0.7113593816757202
21,0.5486587285995483,0.7149507999420166
22,0.5520364046096802,0.7130885720252991
23,0.5537092089653015,0.7133545875549316
24,0.5489251017570496,0.7178770899772644
25,0.5452914834022522,0.7189412117004395
26,0.543082058429718,0.7168129682540894
27,0.5455966591835022,0.7157488465309143
28,0.5443368554115295,0.7144187092781067
29,0.5415048599243164,0.7157488465309143
30,0.5427162051200867,0.7176110744476318
31,0.5381102561950684,0.7223995923995972
32,0.5399683117866516,0.7218675017356873
33,0.5368615984916687,0.7223995923995972
34,0.5371341705322266,0.7184091806411743
35,0.531440258026123,0.7226656079292297
36,0.5313646197319031,0.7237297296524048
37,0.5311489701271057,0.723064661026001
38,0.5290018916130066,0.7255918979644775
39,0.5285885334014893,0.7261239886283875
40,0.5254209041595459,0.7278531789779663
41,0.5252664685249329,0.7283852100372314
42,0.5221909880638123,0.728651225566864
43,0.5195349454879761,0.7317105531692505
44,0.5146425366401672,0.733572781085968
45,0.5160542726516724,0.7341048121452332
46,0.5122559666633606,0.7390263080596924
47,0.5114309787750244,0.7375631928443909
48,0.5114580988883972,0.7399574518203735
49,0.5052646994590759,0.7418196201324463
